accepted_ministeps,converged,dt_days,iterations,pressure_max,pressure_min,step,step_elapsed_seconds,time_days,well_count
1,True,30.0,2,40544100.00349751,39614219.51766497,121,49.018260500000906,3180.0,12
1,True,30.0,2,40541327.5012405,39613711.47802438,122,49.58557060000021,3210.0,12
1,True,30.0,2,40538600.848720565,39613215.020806916,123,50.91419450000103,3240.0,12
1,True,30.0,2,40535923.98013265,39612730.729164235,124,36.72780409999541,3270.0,12
1,True,30.0,2,40533297.054550044,39612258.69068597,125,37.576980099998764,3300.0,12
1,True,30.0,2,40530719.96839291,39611798.53233702,126,36.87084979999054,3330.0,12
1,True,30.0,2,40528192.12127914,39611348.98761919,127,39.56511450000107,3360.0,12
1,True,30.0,2,40525711.491113685,39610909.35553806,128,44.35010979999788,3390.0,12
1,True,30.0,2,40523277.88458375,39610480.591719374,129,45.06062530000054,3420.0,12
1,True,30.0,2,40520877.83093148,39610034.08731277,130,46.28923359999317,3450.0,12
1,True,30.0,2,40518511.974120565,39609495.50073858,131,45.49186439999903,3480.0,12
1,True,30.0,2,40516189.01355914,39608968.40329127,132,39.20111629999883,3510.0,12
1,True,30.0,2,40513905.755536556,39608451.85034974,133,49.362411300011445,3540.0,12
1,True,30.0,2,40511663.380930565,39607947.4746681,134,40.26111399999354,3570.0,12
1,True,30.0,2,40509462.02420477,39607458.99328119,135,18.088091300000087,3600.0,12
