step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
207,21.921,8,10.028,9,10.888,8,102,1.004,2.715,7.337,0.174,0.413,0.582,7.921
208,10.821,4,5.671,5,4.575,4,33,0.575,1.383,2.875,0.082,0.134,0.195,3.051
209,11.249,4,5.734,5,4.884,4,37,0.632,1.360,3.180,0.091,0.147,0.212,3.380
210,10.823,4,5.491,5,4.721,4,39,0.611,1.320,3.065,0.087,0.157,0.227,3.277
211,11.157,4,5.895,5,4.668,4,36,0.593,1.360,2.983,0.086,0.143,0.203,3.174
212,26.850,10,12.696,11,13.016,10,115,1.138,3.477,8.585,0.222,0.474,0.650,9.216
213,83.236,28,36.270,32,43.503,28,456,3.464,9.441,30.094,0.598,1.821,2.605,32.930
214,67.611,25,32.744,29,31.682,25,261,3.185,8.569,20.393,0.572,1.046,1.504,21.864
215,64.083,24,31.333,28,29.284,24,240,3.466,8.198,18.979,0.603,0.970,1.372,20.271
216,13.494,5,6.714,6,6.037,5,45,0.743,1.686,3.908,0.125,0.188,0.265,4.155
217,10.898,4,5.900,5,4.426,4,33,0.572,1.329,2.769,0.090,0.130,0.207,2.971
218,61.223,23,30.471,27,27.689,23,223,3.063,7.813,17.743,0.493,0.891,1.281,18.952
219,74.998,29,38.656,34,32.470,29,229,3.873,10.067,20.245,0.659,0.922,1.299,21.448
220,116.659,44,57.258,50,54.095,44,432,5.306,15.049,34.671,0.988,1.746,2.479,37.097
221,115.089,44,57.284,50,52.386,44,406,5.419,14.963,33.413,1.020,1.631,2.327,35.661
222,208.636,81,105.659,92,93.074,81,684,9.903,27.555,58.316,1.896,2.761,3.930,62.025
223,71.486,28,36.400,32,31.249,28,212,3.837,9.747,19.402,0.654,0.864,1.217,20.545
224,70.453,28,37.903,33,28.919,28,186,3.631,9.540,17.553,0.609,0.753,1.080,18.527
225,127.279,50,65.625,57,55.441,50,377,6.213,17.170,34.021,1.101,1.526,2.170,36.007
226,133.402,52,68.366,59,58.477,52,414,6.559,17.928,36.704,1.147,1.679,2.395,38.903
227,160.181,63,83.044,72,69.428,63,475,7.708,21.584,42.716,1.433,1.924,2.723,45.180
228,179.698,71,94.837,82,75.784,71,499,9.078,24.263,46.191,1.645,2.032,2.883,48.814
229,8.563,3,4.787,4,3.243,3,20,0.533,1.037,1.932,0.069,0.081,0.120,2.036
230,225.725,88,118.056,101,96.343,88,670,11.326,30.117,59.644,2.049,2.718,3.864,63.204
231,63.133,25,33.643,29,26.253,25,164,3.237,8.634,16.002,0.565,0.664,0.942,16.857
232,104.871,41,56.304,48,43.227,41,279,5.340,14.141,26.264,0.936,1.132,1.613,27.722
233,207.938,78,109.969,90,87.762,78,561,10.207,27.406,54.802,1.838,2.353,3.342,57.831
234,183.137,73,96.455,84,77.707,73,512,8.975,24.788,47.842,1.655,2.082,2.975,50.552
235,151.171,60,80.153,69,63.545,60,424,7.472,20.545,39.064,1.354,1.719,2.433,41.303
236,99.011,38,53.351,46,40.540,38,266,5.120,13.018,25.138,0.864,1.089,1.583,26.595
237,186.400,71,97.537,81,79.760,71,529,9.103,24.575,49.490,1.658,2.201,3.132,52.383
238,50.910,20,26.419,23,21.973,20,154,2.518,6.706,13.646,0.475,0.625,0.888,14.459
239,101.282,40,52.539,45,43.940,40,308,4.803,13.505,27.309,0.880,1.249,1.774,28.972
240,76.377,29,39.164,34,33.478,29,234,3.735,10.071,21.228,0.661,0.957,1.370,22.536
241,14.535,5,7.074,6,6.777,5,63,0.684,1.680,4.451,0.111,0.254,0.366,4.809
242,16.416,6,8.142,7,7.517,6,65,0.757,2.012,4.958,0.143,0.262,0.370,5.319
243,66.363,26,34.634,30,28.520,26,190,3.209,9.012,17.634,0.594,0.779,1.114,18.665
244,10.643,4,5.840,5,4.191,4,28,0.612,1.353,2.586,0.095,0.115,0.163,2.734
245,23.445,8,11.584,10,10.689,8,99,1.172,2.696,7.179,0.189,0.404,0.578,7.761
246,8.286,3,4.657,4,3.154,3,21,0.476,1.002,1.922,0.065,0.084,0.118,2.030
247,8.404,3,4.657,4,3.245,3,21,0.502,1.033,1.956,0.080,0.085,0.122,2.065
248,21.289,7,9.600,8,10.811,7,116,0.878,2.306,7.539,0.161,0.463,0.661,8.228
249,18.126,6,8.072,7,9.281,6,99,0.774,2.013,6.507,0.134,0.396,0.571,7.104
250,8.574,3,4.702,4,3.381,3,22,0.491,1.028,2.116,0.090,0.098,0.132,2.242
251,32.536,12,15.297,13,15.885,12,140,1.354,4.033,10.392,0.281,0.556,0.795,11.203
252,8.666,3,4.581,4,3.314,3,24,0.772,1.049,2.120,0.067,0.097,0.139,2.250
253,10.611,4,5.640,5,4.366,4,29,0.605,1.380,2.755,0.086,0.117,0.170,2.908
254,12.485,4,6.130,5,5.760,4,56,0.595,1.334,3.926,0.104,0.225,0.321,4.251
255,8.996,3,5.092,4,3.314,3,21,0.589,1.024,1.927,0.062,0.084,0.120,2.036
256,14.565,5,6.890,6,6.988,5,61,0.688,1.751,4.773,0.109,0.249,0.353,5.122
257,16.542,6,8.255,7,7.517,6,62,0.770,2.095,4.950,0.141,0.246,0.351,5.292
258,11.587,4,5.958,5,5.035,4,43,0.593,1.357,3.306,0.091,0.173,0.251,3.550
259,19.087,7,9.420,8,8.748,7,66,0.920,2.360,5.631,0.168,0.270,0.391,6.009
260,14.192,5,7.109,6,6.394,5,56,0.689,1.696,4.245,0.106,0.230,0.324,4.565
261,18.639,7,9.342,8,8.412,7,66,0.886,2.353,5.371,0.157,0.261,0.373,5.726
262,14.901,5,7.183,6,6.996,5,64,0.722,1.706,4.792,0.100,0.250,0.363,5.166
263,20.382,8,10.804,9,8.600,8,55,0.978,2.791,5.231,0.189,0.222,0.313,5.527
264,11.328,4,5.981,5,4.727,4,39,0.620,1.372,3.079,0.085,0.151,0.218,3.289
265,13.840,5,7.055,6,6.058,5,51,0.728,1.689,3.964,0.108,0.202,0.291,4.248
266,14.118,5,6.863,6,6.459,5,52,0.795,1.772,4.364,0.110,0.217,0.309,4.656
267,19.259,7,9.659,8,8.709,7,70,0.891,2.430,5.733,0.163,0.274,0.395,6.121
268,56.840,21,27.777,24,26.503,21,219,2.559,7.174,17.545,0.494,0.864,1.237,18.757
269,27.618,11,13.952,12,12.393,11,95,1.273,3.731,7.940,0.242,0.373,0.540,8.441
270,75.117,29,38.257,33,33.173,29,262,3.686,9.800,21.185,0.642,1.028,1.476,22.576
271,38.233,14,20.252,17,15.886,14,121,2.096,4.777,10.094,0.312,0.481,0.689,10.740
272,13.027,5,6.982,6,5.337,5,36,0.708,1.745,3.286,0.109,0.143,0.201,3.474
