step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
177,15.885,7,6.169,9,8.705,7,76,1.011,2.268,5.695,0.176,0.305,0.438,6.130
178,13.911,6,4.917,7,8.158,6,76,0.837,2.027,5.477,0.129,0.309,0.436,5.909
179,6.296,3,2.829,4,2.955,3,18,0.512,0.982,1.713,0.069,0.071,0.103,1.809
180,10.783,5,4.072,6,6.064,5,55,0.647,1.595,4.037,0.106,0.217,0.315,4.343
181,12.503,6,4.953,7,6.828,6,54,0.722,2.007,4.416,0.131,0.213,0.306,4.699
182,13.297,6,4.748,7,7.814,6,75,0.735,1.913,5.298,0.130,0.296,0.427,5.723
183,14.109,6,4.898,7,8.398,6,81,0.813,2.018,5.761,0.145,0.324,0.458,6.233
184,11.491,6,4.823,7,5.893,6,39,0.776,1.935,3.597,0.129,0.162,0.223,3.800
185,14.180,6,4.807,7,8.645,6,81,0.728,2.031,5.961,0.129,0.325,0.465,6.451
186,14.819,6,4.826,7,9.234,6,88,0.759,2.015,6.579,0.133,0.365,0.521,7.119
187,8.553,4,3.620,5,4.378,4,30,0.555,1.371,2.647,0.093,0.118,0.170,2.800
188,7.758,4,3.369,5,3.829,4,22,0.559,1.266,2.337,0.083,0.089,0.131,2.457
189,10.047,5,4.107,6,5.311,5,37,0.629,1.624,3.371,0.111,0.151,0.220,3.573
190,17.575,8,6.215,9,10.453,8,101,0.906,2.585,7.118,0.163,0.388,0.564,7.699
191,20.930,9,6.961,10,12.946,9,130,1.023,3.021,8.903,0.204,0.513,0.744,9.692
192,13.740,6,4.860,7,8.132,6,81,0.747,1.890,5.573,0.126,0.317,0.457,6.044
193,17.549,8,6.149,9,10.489,8,101,0.910,2.539,7.099,0.174,0.397,0.569,7.678
194,10.806,5,4.195,6,5.974,5,46,0.637,1.797,3.948,0.106,0.189,0.269,4.208
195,10.133,5,4.263,6,5.237,5,38,0.633,1.647,3.294,0.107,0.149,0.213,3.488
196,14.908,7,5.629,8,8.439,7,74,0.840,2.279,5.571,0.156,0.292,0.424,5.986
197,57.119,26,21.185,31,32.550,26,272,3.384,8.647,21.838,0.552,1.117,1.597,23.441
198,47.698,24,20.255,29,24.317,24,159,3.126,8.043,15.131,0.508,0.639,0.917,15.955
199,11.192,5,4.527,6,6.014,5,44,0.651,1.795,3.934,0.127,0.182,0.260,4.184
200,17.378,8,6.253,9,10.201,8,92,0.924,2.647,6.814,0.168,0.365,0.527,7.334
201,27.020,12,9.747,14,15.816,12,139,1.456,4.105,10.456,0.273,0.555,0.786,11.272
202,22.700,10,7.769,11,13.839,10,132,1.092,3.186,9.546,0.208,0.531,0.759,10.347
203,59.225,25,20.421,29,35.689,25,348,3.115,8.552,24.607,0.528,1.391,1.987,26.675
204,34.003,11,9.249,13,23.352,11,301,1.402,3.675,17.511,0.245,1.199,1.660,19.428
205,22.671,10,7.560,11,13.971,10,135,1.140,3.203,9.612,0.209,0.552,0.793,10.416
206,8.819,4,3.684,5,4.580,4,37,0.556,1.300,2.946,0.084,0.149,0.213,3.144
207,24.283,11,9.004,13,13.908,11,119,1.372,3.560,9.202,0.246,0.494,0.708,9.912
208,8.822,4,3.713,5,4.525,4,33,0.584,1.321,2.946,0.087,0.137,0.195,3.127
209,8.796,4,3.672,5,4.555,4,37,0.569,1.292,2.932,0.085,0.150,0.216,3.136
210,8.773,4,3.537,5,4.675,4,40,0.561,1.282,3.072,0.083,0.160,0.230,3.290
211,9.204,4,3.728,5,4.905,4,35,0.571,1.391,3.295,0.090,0.146,0.210,3.499
212,15.596,7,5.745,8,8.987,7,81,0.864,2.209,5.915,0.152,0.315,0.456,6.375
213,34.525,16,13.420,19,19.135,16,164,1.970,5.079,12.433,0.356,0.653,0.937,13.334
214,54.818,25,20.290,29,31.428,25,274,3.100,8.014,20.934,0.539,1.136,1.598,22.518
215,30.958,14,11.368,16,17.642,14,152,1.948,4.550,11.653,0.313,0.619,0.869,12.557
216,8.722,4,3.536,5,4.630,4,37,0.556,1.337,2.945,0.088,0.147,0.210,3.142
217,8.683,4,3.644,5,4.429,4,31,0.610,1.356,2.708,0.085,0.126,0.179,2.872
218,57.861,23,26.043,47,27.054,23,216,4.764,7.736,17.589,0.500,0.879,1.243,18.755
219,57.853,26,25.063,41,28.604,26,208,4.185,8.706,18.047,0.579,0.836,1.194,19.162
220,70.456,32,27.002,38,39.330,32,336,4.124,10.559,25.896,0.690,1.349,1.915,27.815
221,77.826,34,32.367,52,39.964,34,316,5.495,11.385,25.803,0.752,1.275,1.826,27.590
222,109.253,52,44.054,63,58.288,52,445,6.911,17.238,37.242,1.101,1.792,2.550,39.678
223,63.918,32,26.093,38,33.850,32,235,3.975,10.598,21.002,0.692,0.947,1.348,22.229
224,36.251,18,15.499,22,18.061,18,115,2.692,5.920,10.985,0.409,0.468,0.672,11.590
225,89.417,41,39.602,61,43.269,41,305,6.546,13.558,27.154,0.885,1.224,1.749,28.746
226,53.365,26,22.822,32,27.021,26,178,3.522,8.694,16.673,0.569,0.717,1.026,17.604
227,89.654,43,36.666,52,47.188,43,344,5.800,14.229,29.939,0.948,1.391,2.000,31.794
228,110.262,55,46.315,66,56.624,55,389,7.324,17.938,35.060,1.216,1.569,2.239,37.098
229,6.466,3,2.875,4,3.075,3,20,0.515,1.074,1.920,0.059,0.078,0.112,2.022
230,84.437,37,36.885,60,40.976,37,312,6.576,12.152,26.074,0.809,1.260,1.781,27.738
231,73.584,35,32.218,51,36.091,35,234,5.275,11.734,22.233,0.758,0.954,1.367,23.471
232,70.987,33,32.320,52,33.087,33,216,5.579,10.765,20.194,0.721,0.869,1.244,21.318
233,105.716,50,46.063,70,51.888,50,344,7.764,16.546,32.123,1.098,1.392,1.978,33.938
234,138.316,66,60.904,92,67.545,66,447,9.867,21.930,41.519,1.448,1.821,2.594,43.864
235,89.627,40,41.913,70,40.342,40,263,7.372,13.304,24.549,0.879,1.065,1.525,25.941
236,169.698,74,75.101,125,80.931,74,595,13.666,24.489,50.998,1.665,2.398,3.404,54.169
237,77.738,37,35.294,57,36.391,37,227,6.053,12.183,22.167,0.825,0.915,1.319,23.374
238,30.886,15,12.067,17,17.087,15,140,1.732,4.762,10.943,0.366,0.552,0.789,11.694
239,60.957,26,26.027,44,30.300,26,232,4.630,8.612,19.418,0.579,0.969,1.356,20.703
240,19.121,9,7.678,11,10.231,9,83,1.212,2.896,6.601,0.200,0.330,0.467,7.047
241,18.964,9,7.597,11,10.159,9,77,1.207,2.868,6.554,0.207,0.317,0.453,7.001
242,13.211,6,4.920,7,7.539,6,69,0.752,1.859,5.015,0.124,0.277,0.397,5.405
243,57.400,26,21.178,30,33.006,26,293,3.215,8.603,21.986,0.566,1.182,1.675,23.687
244,8.393,4,3.610,5,4.195,4,28,0.589,1.366,2.552,0.092,0.113,0.161,2.698
245,19.509,9,7.740,11,10.504,9,83,1.265,2.941,6.770,0.202,0.337,0.489,7.233
246,6.253,3,2.735,4,3.046,3,21,0.472,0.949,1.890,0.063,0.085,0.121,2.000
247,6.514,3,2.850,4,3.189,3,21,0.475,0.975,1.928,0.066,0.086,0.126,2.043
248,22.689,10,8.602,12,12.738,10,109,1.350,3.418,8.479,0.243,0.445,0.632,9.092
249,21.586,9,7.878,11,12.505,9,120,1.203,3.197,8.512,0.191,0.473,0.671,9.211
250,6.846,3,2.956,4,3.122,3,23,0.768,0.968,1.933,0.071,0.090,0.131,2.051
251,15.747,7,5.881,8,9.002,7,80,0.864,2.362,6.001,0.143,0.318,0.452,6.450
252,6.720,3,2.895,4,3.303,3,25,0.522,1.025,2.089,0.069,0.100,0.147,2.223
253,8.679,4,3.605,5,4.494,4,29,0.580,1.350,2.844,0.086,0.116,0.172,3.004
254,9.912,4,3.614,5,5.666,4,58,0.632,1.284,3.957,0.083,0.230,0.330,4.290
255,4.613,2,2.128,3,2.095,2,14,0.390,0.634,1.257,0.041,0.054,0.077,1.330
256,9.312,4,3.569,5,5.165,4,49,0.578,1.256,3.531,0.083,0.195,0.279,3.803
257,33.880,15,13.777,19,17.911,15,149,2.193,5.068,11.765,0.323,0.588,0.843,12.580
258,23.694,11,10.084,14,11.984,11,83,1.626,3.839,7.656,0.249,0.335,0.477,8.103
259,22.930,10,9.638,15,11.411,10,89,1.882,3.417,7.385,0.212,0.350,0.506,7.861
260,14.576,7,5.683,8,8.060,7,67,0.832,2.303,5.184,0.146,0.261,0.373,5.546
261,16.009,7,6.381,9,8.601,7,67,1.028,2.365,5.631,0.148,0.266,0.379,6.006
262,11.649,5,4.316,6,6.658,5,63,0.675,1.688,4.542,0.103,0.249,0.355,4.895
