step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
172,3.233,2,1.651,3,1.329,2,21,0.253,0.294,0.664,0.048,0.054,0.062,0.717
173,2.718,2,1.487,3,0.941,2,18,0.289,0.186,0.535,0.035,0.045,0.052,0.580
174,4.782,4,2.623,5,1.743,4,30,0.416,0.401,0.965,0.072,0.075,0.085,1.036
175,3.818,3,2.138,4,1.319,3,23,0.361,0.282,0.743,0.052,0.060,0.067,0.797
176,3.587,3,2.035,4,1.231,3,20,0.321,0.272,0.650,0.055,0.051,0.059,0.696
177,2.582,2,1.477,3,0.824,2,13,0.281,0.182,0.439,0.032,0.033,0.039,0.473
178,3.777,3,2.004,4,1.329,3,24,0.444,0.295,0.746,0.054,0.060,0.070,0.806
179,3.806,3,2.049,4,1.427,3,25,0.329,0.326,0.831,0.057,0.065,0.074,0.890
180,3.884,3,2.102,4,1.435,3,26,0.347,0.301,0.846,0.057,0.067,0.076,0.912
181,2.793,2,1.508,3,1.011,2,15,0.274,0.197,0.472,0.035,0.037,0.044,0.508
182,5.854,5,3.108,6,2.251,5,36,0.494,0.452,1.183,0.154,0.093,0.106,1.272
183,13.125,10,7.062,18,4.563,10,81,1.500,0.957,2.467,0.197,0.204,0.233,2.658
184,3.972,3,2.081,4,1.511,3,28,0.380,0.284,0.883,0.048,0.072,0.086,0.958
185,3.913,3,2.031,4,1.527,3,28,0.355,0.273,0.817,0.052,0.071,0.082,0.883
186,3.844,3,2.045,4,1.443,3,28,0.356,0.279,0.815,0.049,0.069,0.081,0.886
187,3.911,3,2.090,4,1.476,3,30,0.346,0.306,0.873,0.051,0.076,0.087,0.946
188,2.847,2,1.536,3,1.049,2,16,0.261,0.192,0.551,0.036,0.042,0.050,0.595
189,4.717,4,2.558,5,1.724,4,26,0.435,0.458,0.920,0.075,0.066,0.077,0.981
190,2.709,2,1.541,3,0.906,2,17,0.261,0.189,0.518,0.036,0.042,0.050,0.557
191,2.810,2,1.533,3,1.008,2,19,0.269,0.185,0.594,0.038,0.049,0.056,0.642
192,2.772,2,1.503,3,0.985,2,15,0.284,0.244,0.501,0.030,0.038,0.044,0.536
193,3.047,2,1.670,3,1.110,2,18,0.268,0.176,0.707,0.035,0.050,0.053,0.752
194,3.950,3,2.144,4,1.475,3,25,0.330,0.280,0.859,0.054,0.063,0.075,0.923
