step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
174,0.111,3,0.054,4,0.051,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
175,0.110,3,0.048,4,0.055,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
176,0.104,3,0.048,4,0.049,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
177,0.141,4,0.061,5,0.072,4,4,0.008,0.000,0.000,0.000,0.000,0.000,0.000
178,0.139,4,0.063,5,0.069,4,4,0.008,0.000,0.000,0.000,0.000,0.000,0.000
179,0.139,4,0.067,5,0.066,4,4,0.007,0.000,0.000,0.000,0.000,0.000,0.000
180,0.142,4,0.065,5,0.067,4,4,0.011,0.000,0.000,0.000,0.000,0.000,0.000
181,0.139,4,0.062,5,0.066,4,4,0.010,0.000,0.000,0.000,0.000,0.000,0.000
182,0.152,4,0.066,5,0.075,4,4,0.012,0.000,0.000,0.000,0.000,0.000,0.000
183,0.124,4,0.053,5,0.062,4,4,0.009,0.000,0.000,0.000,0.000,0.000,0.000
184,0.145,4,0.068,5,0.068,4,4,0.009,0.000,0.000,0.000,0.000,0.000,0.000
185,0.121,4,0.052,5,0.060,4,4,0.008,0.000,0.000,0.000,0.000,0.000,0.000
186,0.126,4,0.054,5,0.061,4,4,0.011,0.000,0.000,0.000,0.000,0.000,0.000
187,0.129,4,0.057,5,0.062,4,4,0.009,0.000,0.000,0.000,0.000,0.000,0.000
188,0.145,4,0.070,5,0.066,4,4,0.008,0.000,0.000,0.000,0.000,0.000,0.000
189,0.138,4,0.058,5,0.071,4,4,0.009,0.000,0.000,0.000,0.000,0.000,0.000
190,0.139,4,0.061,5,0.070,4,4,0.008,0.000,0.000,0.000,0.000,0.000,0.000
191,0.119,4,0.050,5,0.062,4,4,0.007,0.000,0.000,0.000,0.000,0.000,0.000
192,0.135,4,0.061,5,0.062,4,4,0.012,0.000,0.000,0.000,0.000,0.000,0.000
193,0.131,4,0.055,5,0.067,4,4,0.010,0.000,0.000,0.000,0.000,0.000,0.000
194,0.139,4,0.064,5,0.065,4,4,0.010,0.000,0.000,0.000,0.000,0.000,0.000
